,,Binder,DAG,air_voids,CT avg
19,17,389,5.58,35,38.55
19,17,389,5.58,50,30.605
19,17,389,5.58,75,38.645
19,17,389,5.58,90,27.85
19,17,389,5.58,110,26.38
19,17,389,6.16,35,45.35
19,17,389,6.16,50,39.79
19,17,389,6.16,75,37.46
19,17,389,6.16,90,32.465
19,17,389,6.16,110,25.685
19,17,389,5.05,35,28.79
19,17,389,5.05,50,33.67
19,17,389,5.05,75,22.625
19,17,389,5.05,90,15.69
19,17,389,5.05,110,17.62
19,17,389,5.11,35,38.14
19,17,389,5.11,50,27.705
19,17,389,5.11,75,28.24
19,17,389,5.11,90,25.455
19,17,389,5.11,110,13.285
19,17,389,6.23,35,50.455
19,17,389,6.23,50,58.42
19,17,389,6.23,75,44.1
19,17,389,6.23,90,28.86
19,17,389,6.23,110,28.115
19,17,389,5.58,35,51.585
19,17,389,5.58,50,71.87
19,17,389,5.58,75,40.84
19,17,389,5.58,90,30.88
19,17,389,5.58,110,25.965
19,17,489,6.16,35,73.345
19,17,489,6.16,50,45.62
19,17,489,6.16,75,51.93
19,17,489,6.16,90,60.13
19,17,489,6.16,110,33.655
19,17,489,5.05,35,43.01
19,17,489,5.05,50,25.33
19,17,489,5.05,75,30.29
19,17,489,5.05,90,23.085
19,17,489,5.05,110,15.26
19,17,489,5.11,35,38.755
19,17,489,5.11,50,56.855
19,17,489,5.11,75,35.28
19,17,489,5.11,90,25.21
19,17,489,5.11,110,21.195
19,17,489,6.23,35,59.56
19,17,489,6.23,50,48.12
19,17,489,6.23,75,56.33
19,17,489,6.23,90,49.81
19,17,489,6.23,110,45.2
19,17,592,5.58,35,62.53
19,17,592,5.58,50,43.015
19,17,592,5.58,75,59.98
19,17,592,5.58,90,50.275
19,17,592,5.58,110,44.875
19,17,592,6.16,35,68.7
19,17,592,6.16,50,73.22
19,17,592,6.16,75,66
19,17,592,6.16,90,52.85
19,17,592,6.16,110,52.19
19,17,592,5.05,35,56.805
19,17,592,5.05,50,41.27
19,17,592,5.05,75,49.42
19,17,592,5.05,90,41.86
19,17,592,5.05,110,38.83
