GRADATION,AGG SOURCE,BINDER,DAG,AV,"ITS (Dry), kPa","ITS (wet), kpa"
19,17,389,5.58,7.243,837.956,751.655
19,17,389,5.58,4.003,1087.625,870.476
19,17,389,5.58,3.262,1141.149,1048.716
19,17,389,6.16,6.85,823.525,726.349
19,17,389,6.16,3.884,941.84,874.823
19,17,389,6.16,2.399,1056.561,999.63
19,17,389,5.05,6.782,1017.333,849.97
19,17,389,5.05,3.977,1174.988,971.752
19,17,389,5.05,2.797,1330.854,1203.859
19,17,389,5.11,6.825,911.988,786.736
19,17,389,5.11,3.989,1028.726,958.547
19,17,389,5.11,2.816,1142.386,1056.707
19,17,389,6.23,6.854,783.981,713.422
19,17,389,6.23,3.944,893.577,833.58
19,17,389,6.23,2.886,994.992,942.791
19,17,489,5.58,6.387,956.158,841.995
19,17,489,5.58,4.028,1088.57,1010.218
19,17,489,5.58,1.929,1309.732,1227.883
19,17,489,6.16,6.857,942.579,847.823
19,17,489,6.16,3.911,1037.667,951.807
19,17,489,6.16,2.884,1173.747,1134.94
19,17,489,5.05,7.189,1135.93,952.275
19,17,489,5.05,4.047,1191.447,1084.949
19,17,489,5.05,2.825,1470.554,1334.531
19,17,489,5.11,6.826,1043.78,901.111
19,17,489,5.11,4.111,1298.529,1152.196
19,17,489,5.11,3.648,1358.434,1235.979
19,17,489,6.23,6.926,912.123,830.371
19,17,489,6.23,4.224,1026.667,937.474
19,17,489,6.23,2.906,1129.901,1103.41
19,17,592,5.58,6.3,1117.495,1026.122
19,17,592,5.58,3.44,1313.309,1211.007
19,17,592,5.58,2.884,1427.908,1364.912
19,17,592,6.16,6.889,1169.27,1020.796
19,17,592,6.16,4.141,1254.389,1169.152
19,17,592,6.16,3.463,1377.677,1342.488
19,17,592,5.05,6.227,1352.269,1164.291
19,17,592,5.05,3.976,1411.422,1368.449
19,17,592,5.05,2.857,1588.767,1510.861
19,17,592,5.11,7.347,1258.067,1102.099
19,17,592,5.11,4.027,1515.664,1366
19,17,592,5.11,2.867,1590.092,1515.814
19,17,592,6.23,6.966,1108.755,1023.49
19,17,592,6.23,3.928,1243.775,1168.912
19,17,592,6.23,2.38,1317.002,1293.76
19,24,389,5.89,6.476,814.077,693.329
19,24,389,5.89,4.135,976.536,845.429
19,24,389,5.89,2.854,1074.299,931.068
