GRADATION,SOURCE,BINDER,DAG,AV,PS avg
19,17,822.0529,5.58,7.243,2.361937
19,17,822.0529,5.58,5.982,1.975768
19,17,822.0529,5.58,4.003,1.643675
19,17,822.0529,5.58,3.449,1.160868
19,17,822.0529,5.58,3.262,0.957778
19,17,822.0529,6.16,6.85,2.867196
19,17,822.0529,6.16,5.057,2.256446
19,17,822.0529,6.16,3.884,1.880371
19,17,822.0529,6.16,3.701,1.669884
19,17,822.0529,6.16,2.399,1.371063
19,17,822.0529,5.05,6.782,2.039973
19,17,822.0529,5.05,5.716,1.520033
19,17,822.0529,5.05,3.977,1.290894
19,17,822.0529,5.05,3.414,1.066683
19,17,822.0529,5.05,2.797,0.967241
19,17,822.0529,5.11,6.825,2.154539
19,17,822.0529,5.11,5.451,1.438815
19,17,822.0529,5.11,3.989,1.324954
19,17,822.0529,5.11,3.429,1.100154
19,17,822.0529,5.11,2.816,0.996378
19,17,822.0529,6.23,6.854,3.343896
19,17,822.0529,6.23,5.554,2.526482
19,17,822.0529,6.23,3.944,1.83723
19,17,822.0529,6.23,3.21,1.781618
19,17,822.0529,6.23,2.886,1.710022
19,17,1415.147,5.58,6.387,2.193821
19,17,1415.147,5.58,5.493,1.810184
19,17,1415.147,5.58,4.028,1.618938
19,17,1415.147,5.58,3.706,0.818743
19,17,1415.147,5.58,1.929,0.728681
19,17,1415.147,6.16,6.857,2.777252
19,17,1415.147,6.16,6.04,2.209929
19,17,1415.147,6.16,3.911,1.729914
19,17,1415.147,6.16,3.501,1.432724
19,17,1415.147,6.16,2.884,1.172993
19,17,1415.147,5.05,7.189,1.559175
19,17,1415.147,5.05,5.239,1.077271
19,17,1415.147,5.05,4.047,0.780308
19,17,1415.147,5.05,3.861,0.739243
19,17,1415.147,5.05,2.825,0.677
19,17,1415.147,5.11,6.826,2.068671
19,17,1415.147,5.11,6.009,1.654937
19,17,1415.147,5.11,4.111,0.961016
19,17,1415.147,5.11,3.039,0.879852
19,17,1415.147,5.11,3.648,0.754326
19,17,1415.147,6.23,6.926,3.171903
19,17,1415.147,6.23,5.201,2.496022
19,17,1415.147,6.23,4.224,1.830649
19,17,1415.147,6.23,3.501,1.735048
19,17,1415.147,6.23,2.906,1.494575
19,17,3321.791,5.58,6.3,1.994298
19,17,3321.791,5.58,5.601,1.57692
19,17,3321.791,5.58,3.44,1.372005
19,17,3321.791,5.58,3.301,0.932117
19,17,3321.791,5.58,2.884,0.737594
19,17,3321.791,6.16,6.889,2.266377
19,17,3321.791,6.16,5.6,1.888936
19,17,3321.791,6.16,4.141,1.367985
19,17,3321.791,6.16,3.554,1.27556
19,17,3321.791,6.16,3.463,0.941767
19,17,3321.791,5.05,6.227,1.607992
19,17,3321.791,5.05,5.519,1.188651
19,17,3321.791,5.05,3.976,0.830633
19,17,3321.791,5.05,3.791,0.749723
19,17,3321.791,5.05,2.857,0.665549
19,17,3321.791,5.11,7.347,1.852878
19,17,3321.791,5.11,4.98,1.213021
19,17,3321.791,5.11,4.027,1.003394
19,17,3321.791,5.11,3.148,0.741738
19,17,3321.791,5.11,2.867,0.710021
19,17,3321.791,6.23,6.966,2.523122
19,17,3321.791,6.23,5.688,2.080374
19,17,3321.791,6.23,3.928,1.705641
19,17,3321.791,6.23,3.569,1.199487
19,17,3321.791,6.23,2.38,1.079538
19,24,822.0529,5.89,6.476,2.600469
19,24,822.0529,5.89,5.638,2.302335
19,24,822.0529,5.89,4.135,1.94565
19,24,822.0529,5.89,3.565,1.8858
19,24,822.0529,5.89,2.854,1.130714
19,24,822.0529,6.48,6.86,3.540075
19,24,822.0529,6.48,5.66,2.65587
19,24,822.0529,6.48,4.169,2.379437
19,24,822.0529,6.48,3.56,1.40133
19,24,822.0529,6.48,2.898,1.861871
