Aggregate,source,DAG,Binder,AV,PS
19,15,5.58,822,7.243,2.362
19,15,5.58,822,5.982,2.311
19,15,5.58,822,4.003,1.644
19,15,5.58,822,3.449,1.161
19,15,5.58,822,3.262,0.958
19,15,6.16,822,6.85,2.867
19,15,6.16,822,5.057,1.941
19,15,6.16,822,3.884,1.88
19,15,6.16,822,3.701,1.67
19,15,6.16,822,2.399,1.213
19,15,5.05,822,6.782,2.147
19,15,5.05,822,5.716,1.382
19,15,5.05,822,3.977,1.291
19,15,5.05,822,3.414,1.123
19,15,5.05,822,2.797,1.018
19,15,5.11,822,6.825,2.155
19,15,5.11,822,5.451,1.191
19,15,5.11,822,3.989,1.325
19,15,5.11,822,3.429,1.1
19,15,5.11,822,2.816,0.996
19,15,6.23,822,6.854,3.344
19,15,6.23,822,5.554,2.526
19,15,6.23,822,3.944,1.837
19,15,6.23,822,3.21,1.782
19,15,6.23,822,2.886,1.71
19,15,5.58,1415,6.387,2.194
19,15,5.58,1415,5.493,1.81
19,15,5.58,1415,4.028,1.619
19,15,5.58,1415,3.706,0.819
19,15,5.58,1415,1.929,0.719
19,15,6.16,1415,6.857,2.777
19,15,6.16,1415,6.04,2.21
19,15,6.16,1415,3.911,1.73
19,15,6.16,1415,3.501,1.433
19,15,6.16,1415,2.884,1.173
19,15,5.05,1415,7.189,1.559
19,15,5.05,1415,5.239,1.077
19,15,5.05,1415,4.047,0.78
19,15,5.05,1415,3.861,0.739
19,15,5.05,1415,2.825,0.677
19,15,5.11,1415,6.826,2.069
19,15,5.11,1415,6.009,1.121
19,15,5.11,1415,4.111,0.989
19,15,5.11,1415,3.039,0.88
19,15,5.11,1415,3.648,0.754
19,15,6.23,1415,6.926,3.172
19,15,6.23,1415,5.201,2.08
19,15,6.23,1415,4.224,1.831
19,15,6.23,1415,3.501,1.807
19,15,6.23,1415,2.906,1.495
19,15,5.58,3321,6.3,1.994
19,15,5.58,3321,5.601,1.577
19,15,5.58,3321,3.44,1.605
19,15,5.58,3321,3.301,0.932
19,15,5.58,3321,2.884,0.738
19,15,6.16,3321,6.889,2.266
19,15,6.16,3321,5.6,1.889
19,15,6.16,3321,4.141,1.368
19,15,6.16,3321,3.554,1.417
19,15,6.16,3321,3.463,0.942
19,15,5.05,3321,6.227,1.608
19,15,5.05,3321,5.519,1.189
19,15,5.05,3321,3.976,0.831
19,15,5.05,3321,3.791,0.75
19,15,5.05,3321,2.857,0.666
19,15,5.11,3321,7.347,1.853
19,15,5.11,3321,4.98,0.933
19,15,5.11,3321,4.027,1.115
19,15,5.11,3321,3.148,0.742
19,15,5.11,3321,2.867,0.71
19,15,6.23,3321,6.966,2.523
19,15,6.23,3321,5.688,2.08
19,15,6.23,3321,3.928,1.706
19,15,6.23,3321,3.569,1.199
19,15,6.23,3321,2.38,1.01
19,25,5.89,822,6.476,2.477
19,25,5.89,822,5.638,2.193
19,25,5.89,822,4.135,1.853
19,25,5.89,822,3.565,1.796
19,25,5.89,822,2.854,1.077
19,25,6.48,822,6.86,3.372
19,25,6.48,822,5.66,2.529
19,25,6.48,822,4.169,2.266
19,25,6.48,822,3.56,1.335
19,25,6.48,822,2.898,1.773
19,25,5.27,822,6.803,2.147
19,25,5.27,822,5.406,1.382
19,25,5.27,822,4.011,1.291
19,25,5.27,822,3.477,1.123
19,25,5.27,822,3.117,1.018
19,25,5.32,822,6.913,2.514
19,25,5.32,822,5.573,1.456
19,25,5.32,822,3.313,1.16
19,25,5.32,822,3.535,1.252
